id,encontrada,created_at,updated_at,palabra_clave_id,propiedad_id
593,False,2025-09-16 16:04:50.255329+00:00,2025-09-16 16:04:50.255329+00:00,104,367
594,True,2025-09-16 16:04:51.390345+00:00,2025-09-16 16:04:51.390345+00:00,105,368
595,True,2025-09-16 16:04:51.396065+00:00,2025-09-16 16:04:51.396065+00:00,107,368
596,True,2025-09-16 16:04:51.407892+00:00,2025-09-16 16:04:51.407892+00:00,104,368
597,True,2025-09-16 16:04:52.679536+00:00,2025-09-16 16:04:52.679536+00:00,105,369
598,True,2025-09-16 16:04:52.686069+00:00,2025-09-16 16:04:52.686069+00:00,107,369
599,False,2025-09-16 16:04:52.699121+00:00,2025-09-16 16:04:52.699121+00:00,104,369
600,True,2025-09-16 16:04:53.707067+00:00,2025-09-16 16:04:53.707067+00:00,105,370
601,True,2025-09-16 16:04:53.719066+00:00,2025-09-16 16:04:53.719066+00:00,107,370
602,False,2025-09-16 16:04:53.734625+00:00,2025-09-16 16:04:53.734625+00:00,104,370
603,True,2025-09-16 16:04:54.618321+00:00,2025-09-16 16:04:54.618321+00:00,105,371
604,True,2025-09-16 16:04:54.628106+00:00,2025-09-16 16:04:54.628106+00:00,107,371
605,False,2025-09-16 16:04:54.634710+00:00,2025-09-16 16:04:54.634710+00:00,104,371
606,True,2025-09-16 16:04:55.680320+00:00,2025-09-16 16:04:55.680320+00:00,105,372
607,True,2025-09-16 16:04:55.684406+00:00,2025-09-16 16:04:55.684406+00:00,107,372
608,True,2025-09-16 16:04:55.695775+00:00,2025-09-16 16:04:55.695775+00:00,104,372
609,True,2025-09-16 16:04:58.247938+00:00,2025-09-16 16:04:58.247938+00:00,105,373
610,True,2025-09-16 16:04:58.259116+00:00,2025-09-16 16:04:58.259116+00:00,107,373
611,False,2025-09-16 16:04:58.289044+00:00,2025-09-16 16:04:58.289044+00:00,104,373
612,True,2025-09-16 16:04:59.412705+00:00,2025-09-16 16:04:59.412705+00:00,105,374
613,True,2025-09-16 16:04:59.421706+00:00,2025-09-16 16:04:59.421706+00:00,107,374
614,False,2025-09-16 16:04:59.428368+00:00,2025-09-16 16:04:59.428368+00:00,104,374
615,True,2025-09-16 16:05:00.676748+00:00,2025-09-16 16:05:00.676748+00:00,105,375
616,True,2025-09-16 16:05:00.690054+00:00,2025-09-16 16:05:00.690054+00:00,107,375
617,True,2025-09-16 16:05:00.696319+00:00,2025-09-16 16:05:00.696319+00:00,104,375
618,True,2025-09-16 16:05:01.623441+00:00,2025-09-16 16:05:01.623441+00:00,105,376
619,True,2025-09-16 16:05:01.634077+00:00,2025-09-16 16:05:01.634077+00:00,107,376
620,False,2025-09-16 16:05:01.638072+00:00,2025-09-16 16:05:01.638072+00:00,104,376
621,True,2025-09-16 16:05:02.652698+00:00,2025-09-16 16:05:02.653702+00:00,105,377
622,True,2025-09-16 16:05:02.680989+00:00,2025-09-16 16:05:02.682027+00:00,107,377
623,False,2025-09-16 16:05:02.687996+00:00,2025-09-16 16:05:02.687996+00:00,104,377
624,True,2025-09-16 16:05:03.725664+00:00,2025-09-16 16:05:03.725664+00:00,105,378
625,True,2025-09-16 16:05:03.737998+00:00,2025-09-16 16:05:03.737998+00:00,107,378
626,False,2025-09-16 16:05:03.744017+00:00,2025-09-16 16:05:03.744017+00:00,104,378
627,True,2025-09-16 16:05:04.977397+00:00,2025-09-16 16:05:04.977397+00:00,105,379
628,True,2025-09-16 16:05:04.985234+00:00,2025-09-16 16:05:04.985234+00:00,107,379
629,True,2025-09-16 16:05:04.990231+00:00,2025-09-16 16:05:04.990231+00:00,104,379
630,True,2025-09-16 16:05:06.077111+00:00,2025-09-16 16:05:06.077111+00:00,105,380
631,True,2025-09-16 16:05:06.086039+00:00,2025-09-16 16:05:06.086039+00:00,107,380
632,False,2025-09-16 16:05:06.088151+00:00,2025-09-16 16:05:06.088151+00:00,104,380
633,True,2025-09-16 16:05:07.265390+00:00,2025-09-16 16:05:07.265390+00:00,105,381
634,True,2025-09-16 16:05:07.280997+00:00,2025-09-16 16:05:07.280997+00:00,107,381
635,True,2025-09-16 16:05:07.287982+00:00,2025-09-16 16:05:07.287982+00:00,104,381
636,True,2025-09-16 16:05:08.208110+00:00,2025-09-16 16:05:08.208110+00:00,105,382
637,True,2025-09-16 16:05:08.220376+00:00,2025-09-16 16:05:08.220376+00:00,107,382
638,False,2025-09-16 16:05:08.225683+00:00,2025-09-16 16:05:08.225683+00:00,104,382
639,True,2025-09-16 16:05:09.091656+00:00,2025-09-16 16:05:09.091656+00:00,105,383
640,True,2025-09-16 16:05:09.109655+00:00,2025-09-16 16:05:09.109655+00:00,107,383
641,False,2025-09-16 16:05:09.115703+00:00,2025-09-16 16:05:09.115703+00:00,104,383
642,True,2025-09-16 16:05:10.152463+00:00,2025-09-16 16:05:10.152463+00:00,105,384
643,True,2025-09-16 16:05:10.160457+00:00,2025-09-16 16:05:10.160457+00:00,107,384
644,True,2025-09-16 16:05:10.167989+00:00,2025-09-16 16:05:10.167989+00:00,104,384
645,True,2025-09-16 16:05:11.413566+00:00,2025-09-16 16:05:11.413566+00:00,105,385
646,True,2025-09-16 16:05:11.431112+00:00,2025-09-16 16:05:11.431112+00:00,107,385
